Need help pleese,commonQ.assist
Need help,commonQ.assist
I need some info,commonQ.assist
Will you help me?,commonQ.assist
What else can you do?,commonQ.assist
What do you do?,commonQ.assist
What can you help me with?,commonQ.assist
What can you do?,commonQ.assist
What are you good at?,commonQ.assist
Need help plz,commonQ.assist
How can you help me,commonQ.assist
Can you help me?,commonQ.assist
How can you assist?,commonQ.assist
How can you help me?,commonQ.assist
How do you help?,commonQ.assist
How to help you?,commonQ.assist
How will you assist me?,commonQ.assist
i need help,commonQ.assist
Can you tell some info,commonQ.assist
Help me please,commonQ.assist
Is this a bot?,commonQ.bot
Is there a bot chatting to me?,commonQ.bot
Is it automated message?,commonQ.bot
Computer based pely,commonQ.bot
Bot or human?,commonQ.bot
Bot is chatting with me?,commonQ.bot
Are you system generated message?,commonQ.bot
Are you robot?,commonQ.bot
Are you machine?,commonQ.bot
Are you just computer?,commonQ.bot
Are you a robot?,commonQ.bot
Are you a person?,commonQ.bot
Are you a machine?,commonQ.bot
Are you a chatbot?,commonQ.bot
Are you a bot?,commonQ.bot
Are these automated messages?,commonQ.bot
Am I talking to a bot?,commonQ.bot
You are a boy are girl?,commonQ.bot
You are a bot or human?,commonQ.bot
This is a machine?,commonQ.bot
This is a chatbot?,commonQ.bot
System generated reply,commonQ.bot
Sir you system genretrd,commonQ.bot
Is this computer based response,commonQ.bot
Is this a machine?,commonQ.bot
Are you a human?,commonQ.bot
Hows life?,commonQ.how
How was your day?,commonQ.how
How you doin?,commonQ.how
Whats up?,commonQ.how
What's happening?,commonQ.how
Kya chal raha?,commonQ.how
Wassup?,commonQ.how
How you doing?,commonQ.how
Are you fine?,commonQ.how
Are you good?,commonQ.how
How are you?,commonQ.how
How are you doing?,commonQ.how
Only providing my number,commonQ.just_details
Only providing my email,commonQ.just_details
Only providing my contact details,commonQ.just_details
Only here to give my contact,commonQ.just_details
i am just here to provide my number,commonQ.just_details
i am just here to provide my details,commonQ.just_details
Who are youu?,commonQ.name
What can I call you?,commonQ.name
Your name?,commonQ.name
Can you tell me your name?,commonQ.name
Are you there?,commonQ.name
Any one there?,commonQ.name
What is your name?,commonQ.name
are you abir?,commonQ.name
Is anyone there?,commonQ.name
Your name is?,commonQ.name
Who is chatting?,commonQ.name
Tell me about your self?,commonQ.name
Who are you?,commonQ.name
Who am I chatting with?,commonQ.name
What's your name?,commonQ.name
What should I say as your name?,commonQ.name
Tell me your name?,commonQ.name
What are you called?,commonQ.name
No I will not give the information.,commonQ.not_giving
No. Cannot give you.,commonQ.not_giving
I don't want to tell,commonQ.not_giving
I don't want to,commonQ.not_giving
I don't think so,commonQ.not_giving
Don't have it as of now.,commonQ.not_giving
Cannot tell you,commonQ.not_giving
Won't tell,commonQ.not_giving
Won't give you,commonQ.not_giving
Sorry but I won't,commonQ.not_giving
Right now I don't have it.,commonQ.not_giving
I have a question,commonQ.query
Need to aska query,commonQ.query
I have a question for you,commonQ.query
HAving a query,commonQ.query
I have a query for you,commonQ.query
I have a query,commonQ.query
Have a query for you,commonQ.query
Wait for two minutes,commonQ.wait
will you please wait,commonQ.wait
Can you  please wait,commonQ.wait
Please wait,commonQ.wait
Wait for some time,commonQ.wait
Want you to wait for me,commonQ.wait
Can you wait for two minutes,commonQ.wait
Connect me to the support of abcd company,contact.contact
I want a call back from you,contact.contact
Please tell me your tollfree number ?,contact.contact
Please tell me your mobile number?,contact.contact
Address of your company?,contact.contact
Address of abcd company?,contact.contact
How to reach out to abcd company team?,contact.contact
How to get in touch with your team?,contact.contact
Your team can be reached how?,contact.contact
Your helpline number?,contact.contact
Your company's address?,contact.contact
How to meet you,contact.contact
Your email address to reach?,contact.contact
You have any branch at kolkata?,contact.contact
How contact representative?,contact.contact
How do i contact you?,contact.contact
How to get in touch with the your team?,contact.contact
How to contact you?,contact.contact
What is your helpline number?,contact.contact
Which number I should call to reach you?,contact.contact
Which number can I call to discuss?,contact.contact
Which email should I use to reach to you?,contact.contact
Which email I must use to reach to you?,contact.contact
Give me your number need to speak,contact.contact
Give me your mobile no,contact.contact
Give me the mobile number and i will call you,contact.contact
Email I must use to co-ordinate with you,contact.contact
Getting in touch,contact.contact
I need help. Connect me with support.,contact.contact
Need a telephonic call,contact.contact
Need a person to chat with me,contact.contact
Need human agent,contact.contact
Need customer care,contact.contact
Guide me please regarding the loan?,contact.contact
Contact me on my personal number 9999999999,contact.contact
Did not solved my query,contact.contact
Contact me please,contact.contact
Guide me please,contact.contact
Call me later,contact.contact
Call me at my phone number?,contact.contact
999999999 call me now,contact.contact
arrange call for me,contact.contact
call me at my number,contact.contact
Should I get a call back tomorrow?,contact.contact
Can I call tomorrow?,contact.contact
Contact me at my mobile number,contact.contact
Call on the mobile number 9999999999,contact.contact
Call on my phone number 9999999999,contact.contact
Contact me at my phone number,contact.contact
Call on 9999999999 now,contact.contact
Please get me human to solve my query?,contact.contact
Please call me on my number,contact.contact
Want a person to chat,contact.contact
Please contact me now,contact.contact
Call me on my number,contact.contact
Want to chat with a person,contact.contact
What is your email ID?,contact.contact
Need to speak to an executive,contact.contact
Need to get in touch with the your team?,contact.contact
Need to contact customer care.,contact.contact
Need to contact customer care agent.,contact.contact
Need to contact customer care executive,contact.contact
Need to contact customer care agent now please,contact.contact
In which number should I reach to you?,contact.contact
In which number can I reach your team?,contact.contact
In which email to reach you?,contact.contact
How to reach you ?,contact.contact
can i meet any one in bank?,contact.contact
Can I please contact customer care?,contact.contact
can u tell me your Email id ?,contact.contact
Can you provide executive number help,contact.contact
Can you share the contact details of the support,contact.contact
Need to contact you guys,contact.contact
